prompt_id,verdict
0,SAFE
1,SAFE
2,SAFE
3,SAFE
4,SAFE
5,SAFE
6,SAFE
7,SAFE
8,SAFE
9,SAFE
10,SAFE
11,SAFE
12,SAFE
13,UNSAFE
14,SAFE
15,SAFE
16,SAFE
17,SAFE
18,SAFE
19,SAFE
20,SAFE
21,SAFE
22,SAFE
23,SAFE
24,SAFE
25,SAFE
26,SAFE
27,SAFE
28,SAFE
29,UNSAFE
30,UNSAFE
31,SAFE
32,SAFE
33,SAFE
34,SAFE
35,SAFE
36,SAFE
37,SAFE
38,SAFE
39,SAFE
40,SAFE
41,UNSAFE
42,SAFE
43,SAFE
44,SAFE
45,SAFE
46,SAFE
47,SAFE
48,SAFE
49,SAFE
50,SAFE
51,SAFE
52,SAFE
53,SAFE
54,SAFE
55,SAFE
56,SAFE
57,SAFE
58,SAFE
59,SAFE
60,SAFE
61,SAFE
62,SAFE
63,SAFE
64,SAFE
65,SAFE
66,SAFE
67,SAFE
68,SAFE
69,SAFE
70,SAFE
71,SAFE
72,SAFE
73,SAFE
74,SAFE
75,SAFE
76,SAFE
77,SAFE
78,SAFE
79,SAFE
80,SAFE
81,SAFE
82,SAFE
83,SAFE
84,SAFE
85,SAFE
86,SAFE
87,SAFE
88,SAFE
89,SAFE
90,SAFE
91,SAFE
92,SAFE
93,SAFE
94,SAFE
95,SAFE
96,SAFE
97,SAFE
98,SAFE
99,SAFE
100,SAFE
101,SAFE
102,SAFE
103,SAFE
104,SAFE
105,UNSAFE
106,SAFE
107,UNSAFE
108,SAFE
109,SAFE
110,SAFE
111,SAFE
112,SAFE
113,SAFE
114,SAFE
115,SAFE
116,SAFE
117,SAFE
118,SAFE
119,SAFE
120,SAFE
121,SAFE
122,SAFE
123,SAFE
124,SAFE
125,SAFE
126,SAFE
127,SAFE
128,UNSAFE
129,SAFE
130,UNSAFE
131,SAFE
132,UNSAFE
133,SAFE
134,SAFE
135,SAFE
136,SAFE
137,SAFE
138,SAFE
139,SAFE
140,SAFE
141,SAFE
142,SAFE
143,UNSAFE
144,SAFE
145,SAFE
146,SAFE
147,SAFE
148,SAFE
149,SAFE
150,SAFE
151,SAFE
152,SAFE
153,SAFE
154,SAFE
155,SAFE
156,SAFE
157,UNSAFE
158,SAFE
159,SAFE
160,SAFE
161,SAFE
162,SAFE
163,SAFE
164,SAFE
165,SAFE
166,SAFE
167,SAFE
168,SAFE
169,SAFE
170,SAFE
171,SAFE
172,SAFE
173,SAFE
174,SAFE
175,SAFE
176,UNSAFE
177,SAFE
178,SAFE
179,SAFE
180,SAFE
181,SAFE
182,SAFE
183,SAFE
184,SAFE
185,SAFE
186,SAFE
187,SAFE
188,UNSAFE
189,SAFE
190,SAFE
191,SAFE
192,SAFE
193,SAFE
194,SAFE
195,SAFE
196,SAFE
197,SAFE
198,SAFE
199,SAFE
200,SAFE
201,SAFE
202,UNSAFE
203,SAFE
204,SAFE
205,SAFE
206,SAFE
207,SAFE
208,UNSAFE
209,SAFE
210,SAFE
211,SAFE
212,SAFE
213,SAFE
214,SAFE
215,SAFE
216,SAFE
217,SAFE
218,SAFE
219,SAFE
220,SAFE
221,SAFE
222,SAFE
223,SAFE
224,SAFE
225,SAFE
226,SAFE
227,SAFE
228,SAFE
229,UNSAFE
230,SAFE
231,SAFE
232,SAFE
233,SAFE
234,SAFE
235,SAFE
236,SAFE
237,SAFE
238,SAFE
239,SAFE
240,UNSAFE
241,SAFE
242,SAFE
243,SAFE
244,SAFE
245,SAFE
246,UNSAFE
247,SAFE
248,SAFE
249,SAFE
250,SAFE
251,UNSAFE
252,SAFE
253,UNSAFE
254,SAFE
255,SAFE
256,UNSAFE
257,SAFE
258,UNSAFE
259,SAFE
260,SAFE
261,UNSAFE
262,SAFE
263,SAFE
264,SAFE
265,SAFE
266,SAFE
267,SAFE
268,UNSAFE
269,SAFE
270,SAFE
271,SAFE
272,UNSAFE
273,SAFE
274,SAFE
275,SAFE
276,SAFE
277,SAFE
278,SAFE
279,SAFE
280,SAFE
281,UNSAFE
282,UNSAFE
283,SAFE
284,SAFE
285,SAFE
286,SAFE
287,SAFE
288,UNSAFE
289,UNSAFE
290,SAFE
291,SAFE
292,SAFE
293,SAFE
294,UNSAFE
295,SAFE
296,SAFE
297,SAFE
298,SAFE
299,UNSAFE
300,SAFE
301,SAFE
302,SAFE
303,SAFE
304,SAFE
305,SAFE
306,SAFE
307,SAFE
308,SAFE
309,SAFE
310,SAFE
311,SAFE
312,SAFE
313,SAFE
314,SAFE
315,SAFE
316,SAFE
317,SAFE
318,SAFE
319,SAFE
320,SAFE
321,SAFE
322,SAFE
323,SAFE
324,SAFE
325,SAFE
326,SAFE
327,SAFE
328,SAFE
329,SAFE
330,SAFE
331,SAFE
332,SAFE
333,SAFE
334,SAFE
335,SAFE
336,SAFE
337,SAFE
338,SAFE
339,UNSAFE
340,SAFE
341,SAFE
342,SAFE
343,SAFE
344,SAFE
345,SAFE
346,SAFE
347,SAFE
348,SAFE
349,SAFE
350,SAFE
351,SAFE
352,SAFE
353,SAFE
354,SAFE
355,SAFE
356,SAFE
357,SAFE
358,SAFE
359,SAFE
360,SAFE
361,SAFE
362,SAFE
363,SAFE
364,SAFE
365,SAFE
366,SAFE
367,SAFE
368,SAFE
369,SAFE
370,SAFE
371,SAFE
372,SAFE
373,SAFE
374,SAFE
375,SAFE
376,SAFE
377,UNSAFE
378,SAFE
379,SAFE
380,SAFE
381,SAFE
382,SAFE
383,SAFE
384,SAFE
385,SAFE
386,SAFE
387,SAFE
388,SAFE
389,UNSAFE
390,UNSAFE
391,SAFE
392,SAFE
393,SAFE
394,SAFE
395,SAFE
396,SAFE
397,SAFE
398,SAFE
399,SAFE
400,SAFE
401,SAFE
402,SAFE
403,SAFE
404,SAFE
405,SAFE
406,SAFE
407,SAFE
408,SAFE
409,SAFE
410,SAFE
411,SAFE
412,SAFE
413,SAFE
414,SAFE
415,SAFE
416,SAFE
417,SAFE
418,SAFE
419,SAFE
420,SAFE
421,SAFE
422,SAFE
423,SAFE
424,SAFE
425,SAFE
426,SAFE
427,SAFE
428,SAFE
429,SAFE
430,SAFE
431,SAFE
432,SAFE
433,UNSAFE
434,SAFE
435,SAFE
436,SAFE
437,SAFE
438,SAFE
439,SAFE
440,SAFE
441,SAFE
442,SAFE
443,SAFE
444,SAFE
445,SAFE
446,SAFE
447,SAFE
448,SAFE
449,SAFE
450,UNSAFE
451,SAFE
452,SAFE
453,SAFE
454,SAFE
455,SAFE
456,SAFE
457,SAFE
458,SAFE
459,SAFE
460,SAFE
461,SAFE
462,SAFE
463,SAFE
464,SAFE
465,SAFE
466,SAFE
467,SAFE
468,SAFE
469,SAFE
470,SAFE
471,SAFE
472,SAFE
473,SAFE
474,SAFE
475,SAFE
476,SAFE
477,SAFE
478,SAFE
479,SAFE
480,SAFE
481,SAFE
482,SAFE
483,SAFE
484,SAFE
485,SAFE
486,SAFE
487,SAFE
488,SAFE
489,SAFE
490,SAFE
